Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
Lucas Ocampos,ar ARG,"FW,MF",29.0,31.9,99,3.1,74,2,4,4,11,4,9,0.28,8,0,0,0,0,1
Youssef En-Nesyri,ma MAR,FW,26.0,28.6,22,0.77,13,0,1,4,2,2,8,0.28,4,0,0,1,1,2
Sergio Ramos,es ESP,DF,37.0,28.0,21,0.75,17,0,0,3,1,0,3,0.11,2,0,0,1,0,0
Loïc Bade,fr FRA,DF,23.0,25.3,20,0.79,18,0,0,1,0,1,4,0.16,3,0,0,1,0,0
Boubakary Soumaré,fr FRA,MF,24.0,25.4,29,1.14,28,0,0,0,1,0,2,0.08,2,0,0,0,0,0
Jesús Navas,es ESP,DF,37.0,22.3,49,2.21,45,2,1,1,0,0,6,0.27,6,0,0,0,0,0
Ørjan Nyland,no NOR,GK,32.0,24.0,7,0.29,6,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Nemanja Gudelj,rs SRB,"DF,MF",31.0,19.4,20,1.03,17,1,0,2,0,0,2,0.1,2,0,0,0,0,0
Kike Salas,es ESP,DF,21.0,17.8,13,0.73,9,1,0,1,1,1,0,0.0,0,0,0,0,0,0
Óliver Torres,es ESP,MF,28.0,18.0,58,3.23,47,7,0,0,4,0,2,0.11,2,0,0,0,0,0
Djibril Sow,ch SUI,MF,26.0,16.2,43,2.65,34,0,1,4,3,1,3,0.18,3,0,0,0,0,0
Marcos Acuña,ar ARG,DF,31.0,14.4,49,3.42,28,15,3,0,2,1,4,0.28,1,3,0,0,0,0
Ivan Rakitić,hr CRO,MF,35.0,15.8,80,5.05,47,27,1,2,3,0,1,0.06,0,1,0,0,0,0
Adrià Pedrosa,es ESP,DF,25.0,19.5,52,2.67,38,6,1,2,4,1,4,0.21,4,0,0,0,0,0
Suso,es ESP,"MF,FW",29.0,16.9,91,5.4,60,26,2,2,1,0,12,0.71,9,2,1,0,0,0
Isaac Romero,es ESP,FW,23.0,11.5,29,2.51,16,0,8,5,0,0,8,0.69,4,0,2,2,0,0
Marko Dmitrović,rs SRB,GK,31.0,13.0,3,0.23,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Dodi Lukebakio,be BEL,"FW,MF",25.0,12.5,48,3.84,32,2,8,1,5,0,6,0.48,5,0,1,0,0,0
Juanlu Sánchez,es ESP,DF,19.0,13.1,35,2.66,31,0,3,0,1,0,3,0.23,3,0,0,0,0,0
Lucien Agoume,fr FRA,MF,21.0,8.6,21,2.43,19,0,2,0,0,0,1,0.12,1,0,0,0,0,0
Érik Lamela,ar ARG,"FW,MF",31.0,5.1,20,3.89,17,0,1,0,1,1,2,0.39,2,0,0,0,0,0
Fernando,br BRA,MF,36.0,5.1,8,1.57,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Joan Jordán,es ESP,MF,29.0,4.2,11,2.61,7,1,1,1,1,0,0,0.0,0,0,0,0,0,0
Rafa Mir,es ESP,"FW,MF",26.0,4.3,13,2.99,7,0,2,3,1,0,2,0.46,0,0,2,0,0,0
Marcão,br BRA,DF,27.0,3.9,4,1.01,4,0,0,0,0,0,1,0.25,1,0,0,0,0,0
Tanguy Nianzou,fr FRA,DF,21.0,3.5,3,0.85,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Mariano,do DOM,"FW,MF",29.0,2.7,9,3.32,4,0,1,3,1,0,1,0.37,0,0,0,0,1,0
Manu Bueno,es ESP,MF,19.0,1.3,3,2.31,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Hannibal Mejbri,tn TUN,MF,20.0,1.2,7,6.06,4,0,1,1,1,0,0,0.0,0,0,0,0,0,0
Yassine Bounou,ma MAR,GK,32.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Adnan Januzaj,be BEL,"FW,MF",28.0,2.1,6,2.8,2,2,1,0,1,0,0,0.0,0,0,0,0,0,0
Diego Iturralde,es ESP,DF,20.0,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Alejo Véliz,ar ARG,FW,19.0,0.4,1,2.57,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jesús Corona,mx MEX,"MF,DF",30.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Federico Gattoni,ar ARG,"DF,FW",24.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,28.6,38.0,874,23.0,641,94,42,40,45,12,84,2.21,62,6,6,5,2,3
Opponent Total,,,27.2,38.0,874,23.0,646,72,52,51,39,14,88,2.32,67,6,2,6,5,2
