Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Marc-André ter Stegen,de GER,GK,30.0,37.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Robert Lewandowski,pl POL,FW,33.0,31.6,23,134,56,41.8,4.24,1.77,0.17,0.41,13.8,5,0,1,24.3,23.5,0.18,-1.3,-0.5,Matches
Gavi,es ESP,"MF,FW",17.0,28.1,2,28,8,28.6,1.0,0.28,0.07,0.25,16.6,0,0,0,3.2,3.2,0.11,-1.2,-1.2,Matches
Alejandro Balde,es ESP,DF,18.0,27.5,1,19,4,21.1,0.69,0.15,0.05,0.25,17.9,0,0,0,1.9,1.9,0.1,-0.9,-0.9,Matches
Frenkie de Jong,nl NED,MF,25.0,28.2,2,18,10,55.6,0.64,0.36,0.11,0.2,17.8,0,0,0,2.4,2.4,0.13,-0.4,-0.4,Matches
Jules Koundé,fr FRA,DF,23.0,27.0,1,14,1,7.1,0.52,0.04,0.07,1.0,14.3,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
Sergio Busquets,es ESP,MF,34.0,26.0,0,9,2,22.2,0.35,0.08,0.0,0.0,23.5,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Raphinha,br BRA,FW,25.0,23.0,7,79,25,31.6,3.43,1.09,0.09,0.28,18.5,11,0,0,9.3,9.3,0.12,-2.3,-2.3,Matches
Pedri,es ESP,MF,19.0,22.0,6,22,9,40.9,1.0,0.41,0.27,0.67,15.9,0,0,0,4.9,4.9,0.22,1.1,1.1,Matches
Andreas Christensen,dk DEN,DF,26.0,19.6,1,10,5,50.0,0.51,0.26,0.1,0.2,12.2,0,0,0,1.0,1.0,0.1,0.0,0.0,Matches
Ronald Araújo,uy URU,DF,23.0,20.0,0,18,1,5.6,0.9,0.05,0.0,0.0,13.1,0,0,0,2.1,2.1,0.12,-2.1,-2.1,Matches
Ousmane Dembélé,fr FRA,FW,25.0,15.7,5,49,16,32.7,3.13,1.02,0.1,0.31,16.7,0,0,0,3.9,3.9,0.08,1.1,1.1,Matches
Eric García,es ESP,"DF,MF",21.0,15.7,1,7,1,14.3,0.44,0.06,0.14,1.0,12.9,0,0,0,1.6,1.6,0.22,-0.6,-0.6,Matches
Sergi Roberto,es ESP,"DF,MF",30.0,14.5,4,18,6,33.3,1.24,0.41,0.22,0.67,15.6,0,0,0,2.4,2.4,0.13,1.6,1.6,Matches
Jordi Alba,es ESP,DF,33.0,15.8,2,13,4,30.8,0.82,0.25,0.15,0.5,23.3,0,0,0,0.8,0.8,0.06,1.2,1.2,Matches
Ferrán Torres,es ESP,"FW,MF",22.0,15.5,4,37,11,29.7,2.39,0.71,0.11,0.36,15.6,1,0,1,4.9,4.1,0.11,-0.9,-0.1,Matches
Ansu Fati,es ESP,FW,19.0,15.5,7,61,18,29.5,3.94,1.16,0.11,0.39,15.0,3,0,0,9.1,9.1,0.16,-2.1,-2.1,Matches
Marcos Alonso,es ESP,DF,31.0,13.0,1,6,2,33.3,0.46,0.15,0.17,0.5,12.0,0,0,0,0.9,0.9,0.15,0.1,0.1,Matches
Franck Kessié,ci CIV,MF,25.0,11.0,1,15,3,20.0,1.36,0.27,0.07,0.33,15.9,0,0,0,1.8,1.8,0.12,-0.8,-0.8,Matches
Gerard Piqué,es ESP,DF,35.0,4.3,0,3,0,0.0,0.7,0.0,0.0,,8.9,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches
Memphis,nl NED,FW,28.0,1.3,1,6,3,50.0,4.74,2.37,0.17,0.33,11.6,0,0,0,0.9,0.9,0.14,0.1,0.1,Matches
Pablo Torre,es ESP,"FW,MF",19.0,1.6,0,1,0,0.0,0.62,0.0,0.0,,25.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Héctor Bellerín,es ESP,DF,27.0,1.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Iñaki Peña,es ESP,GK,23.0,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ángel Alarcón,es ESP,"FW,MF",18.0,0.3,0,1,1,100.0,3.6,3.6,0.0,0.0,15.1,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Pierre-Emerick Aubameyang,ga GAB,FW,33.0,0.1,0,1,0,0.0,10.0,0.0,0.0,,12.4,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
Lamine Yamal,es ESP,FW,15.0,0.1,0,1,1,100.0,11.25,11.25,0.0,0.0,10.9,0,0,0,0.4,0.4,0.35,-0.4,-0.4,Matches
Aleix Garrido,es ESP,FW,18.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Chadi Riad,ma MAR,MF,19.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,25.9,38.0,69,570,187,32.8,15.0,4.92,0.12,0.37,15.8,20,0,2,75.5,74.0,0.13,-6.5,-5.0,
Opponent Total,,,27.4,38.0,17,328,99,30.2,8.63,2.61,0.04,0.14,17.4,6,3,3,33.2,30.8,0.1,-16.2,-16.8,
