Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Marc-André ter Stegen,de GER,GK,30.0,37.2,1412,1145,267,69,0,6,0,1,0,0,0,0,1193,0,0,Matches
Robert Lewandowski,pl POL,FW,33.0,31.6,793,767,14,4,16,5,19,0,0,0,0,0,602,12,24,Matches
Gavi,es ESP,"MF,FW",17.0,28.1,1206,1157,45,13,8,13,38,9,0,0,0,0,1026,4,27,Matches
Alejandro Balde,es ESP,DF,18.0,27.5,1670,1444,217,32,0,5,67,185,0,0,0,0,1482,9,19,Matches
Frenkie de Jong,nl NED,MF,25.0,28.2,2320,2246,63,39,19,17,37,15,8,2,2,0,2089,11,24,Matches
Jules Koundé,fr FRA,DF,23.0,27.0,2024,1840,180,50,4,11,36,130,0,0,0,0,1775,4,25,Matches
Sergio Busquets,es ESP,MF,34.0,26.0,1949,1870,74,71,15,5,7,3,0,0,0,0,1722,5,17,Matches
Raphinha,br BRA,FW,25.0,23.0,1266,1072,185,35,12,26,172,42,108,44,35,1,915,9,30,Matches
Pedri,es ESP,MF,19.0,22.0,1449,1384,59,22,24,24,25,11,13,1,11,0,1251,6,25,Matches
Andreas Christensen,dk DEN,DF,26.0,19.6,1507,1445,62,48,3,14,1,10,0,0,0,0,1416,0,7,Matches
Ronald Araújo,uy URU,DF,23.0,20.0,1287,1207,75,41,2,19,5,25,0,0,0,0,1139,5,6,Matches
Ousmane Dembélé,fr FRA,FW,25.0,15.7,854,768,80,7,13,4,106,8,65,17,19,1,642,6,38,Matches
Eric García,es ESP,"DF,MF",21.0,15.7,1257,1205,50,33,2,13,0,16,0,0,0,0,1142,2,8,Matches
Sergi Roberto,es ESP,"DF,MF",30.0,14.5,936,842,91,16,1,7,25,75,0,0,0,0,850,3,10,Matches
Jordi Alba,es ESP,DF,33.0,15.8,1460,1277,178,40,4,8,91,137,1,0,0,0,1217,5,24,Matches
Ferrán Torres,es ESP,"FW,MF",22.0,15.5,576,533,41,8,1,3,60,9,21,10,6,0,437,2,15,Matches
Ansu Fati,es ESP,FW,19.0,15.5,609,590,14,3,1,3,9,3,5,1,0,0,509,5,21,Matches
Marcos Alonso,es ESP,DF,31.0,13.0,1005,956,47,16,1,11,23,16,12,6,4,0,896,2,8,Matches
Franck Kessié,ci CIV,MF,25.0,11.0,457,441,13,6,2,5,5,3,1,0,0,0,391,3,5,Matches
Gerard Piqué,es ESP,DF,35.0,4.3,385,372,11,6,0,6,0,0,0,0,0,0,353,2,2,Matches
Memphis,nl NED,FW,28.0,1.3,66,60,6,1,1,0,4,0,4,0,2,0,53,0,1,Matches
Pablo Torre,es ESP,"FW,MF",19.0,1.6,98,87,9,3,2,0,8,0,6,1,4,0,77,2,1,Matches
Héctor Bellerín,es ESP,DF,27.0,1.6,96,82,13,1,1,0,3,12,0,0,0,0,77,1,3,Matches
Iñaki Peña,es ESP,GK,23.0,0.8,27,22,5,1,0,0,0,0,0,0,0,0,25,0,0,Matches
Ángel Alarcón,es ESP,"FW,MF",18.0,0.3,8,8,0,0,0,0,1,0,0,0,0,0,5,0,0,Matches
Pierre-Emerick Aubameyang,ga GAB,FW,33.0,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
Lamine Yamal,es ESP,FW,15.0,0.1,9,9,0,0,1,0,1,0,0,0,0,0,8,0,0,Matches
Aleix Garrido,es ESP,FW,18.0,0.1,3,3,0,0,0,0,1,0,0,0,0,0,2,0,0,Matches
Chadi Riad,ma MAR,MF,19.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Squad Total,,,25.9,38.0,24733,22836,1799,565,133,205,744,710,244,82,83,2,21298,98,340,
Opponent Total,,,27.4,38.0,13758,11850,1788,511,41,155,483,672,111,48,46,1,10316,120,306,
