Player,Nation,Pos,Age,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Iñaki Williams,gh GHA,FW,28.0,31.5,22,16,5,14,3,9,24,37.5,15,18,3,15,7,29,34,0
Óscar de Marcos,es ESP,DF,33.0,31.3,67,33,34,22,11,40,76,52.6,36,42,6,36,29,96,59,0
Nico Williams,es ESP,FW,20.0,29.5,31,16,10,15,6,19,41,46.3,22,40,2,38,8,39,14,1
Oihan Sancet,es ESP,MF,22.0,28.1,27,16,2,19,6,11,37,29.7,26,10,0,10,4,31,9,1
Unai Simón,es ESP,GK,25.0,30.5,2,0,2,0,0,1,1,100.0,0,1,0,1,0,2,9,3
Mikel Vesga,es ESP,MF,29.0,28.6,57,35,21,31,5,25,68,36.8,43,39,8,31,36,93,39,3
Yuri Berchiche,es ESP,DF,32.0,26.7,56,32,28,20,8,35,59,59.3,24,37,12,25,40,96,59,1
Yeray Álvarez,es ESP,DF,27.0,25.9,34,23,26,7,1,24,31,77.4,7,23,13,10,48,82,101,0
Daniel Vivian,es ESP,DF,23.0,26.4,57,32,36,16,5,36,45,80.0,9,27,14,13,24,81,90,3
Álex Berenguer,es ESP,FW,27.0,25.5,58,37,17,25,16,23,60,38.3,37,37,4,33,10,68,6,0
Iker Muniain,es ESP,"MF,FW",29.0,18.8,21,16,7,11,3,6,17,35.3,11,10,1,9,4,25,2,0
Dani García,es ESP,MF,32.0,16.5,46,27,17,25,4,29,47,61.7,18,21,6,15,19,65,21,1
Gorka Guruzeta,es ESP,FW,25.0,15.8,24,20,6,12,6,11,24,45.8,13,23,2,21,4,28,8,0
Iñigo Martínez,es ESP,DF,31.0,14.9,18,8,11,7,0,6,9,66.7,3,17,11,6,18,36,55,0
Iñigo Lekue,es ESP,DF,29.0,14.7,24,17,20,4,0,12,19,63.2,7,16,2,14,13,37,31,1
Aitor Paredes,es ESP,DF,22.0,9.5,7,6,4,2,1,6,11,54.5,5,11,7,4,14,21,26,0
Ander Herrera,es ESP,MF,32.0,7.7,18,10,8,7,3,6,18,33.3,12,12,3,9,11,29,12,0
Julen Agirrezabala,es ESP,GK,21.0,7.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Raúl García,es ESP,"FW,MF",36.0,10.7,12,8,3,4,5,5,15,33.3,10,13,1,12,6,18,9,0
Oier Zarraga,es ESP,MF,23.0,9.5,14,9,5,7,2,8,20,40.0,12,7,0,7,10,24,5,0
Mikel Balenziaga,es ESP,DF,34.0,1.3,4,4,1,2,1,4,4,100.0,0,0,0,0,1,5,2,0
Ander Capa,es ESP,DF,30.0,1.2,1,1,1,0,0,1,5,20.0,4,5,0,5,0,1,2,0
Asier Villalibre,es ESP,FW,24.0,1.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Unai Vencedor Paris,es ESP,MF,21.0,2.1,3,1,0,3,0,1,6,16.7,5,5,0,5,1,4,1,0
Adu Ares,es ESP,"FW,MF",20.0,0.9,4,2,2,1,1,4,4,100.0,0,1,0,1,2,6,1,0
Jon Morcillo,es ESP,"FW,MF",23.0,0.8,1,0,1,0,0,0,1,0.0,1,0,0,0,1,2,0,0
Squad Total,,,27.4,38.0,608,369,267,254,87,322,642,50.2,320,415,95,320,310,918,598,14
Opponent Total,,,27.3,38.0,656,416,374,212,70,305,652,46.8,347,449,147,302,384,1040,839,17
