Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Nemanja Gudelj,rs SRB,"DF,MF",30.0,30.9,30,0.97,25,1,0,3,1,0,3,0.1,2,0,0,1,0,0,Matches
Óliver Torres,es ESP,"MF,FW",27.0,23.7,74,3.12,59,5,0,3,4,3,6,0.25,4,1,0,1,0,0,Matches
Yassine Bounou,ma MAR,GK,31.0,23.9,2,0.08,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jesús Navas,es ESP,"DF,FW",36.0,22.0,60,2.73,57,1,0,0,2,0,8,0.36,6,1,0,0,1,0,Matches
Marcos Acuña,ar ARG,DF,30.0,21.2,65,3.04,45,14,3,3,0,0,4,0.19,4,0,0,0,0,0,Matches
Ivan Rakitić,hr CRO,MF,34.0,19.9,66,3.32,45,14,0,2,3,2,6,0.3,3,3,0,0,0,0,Matches
Érik Lamela,ar ARG,"FW,MF",30.0,20.5,74,3.61,50,6,5,8,5,0,6,0.29,2,0,2,1,1,0,Matches
Joan Jordán,es ESP,MF,28.0,17.7,30,1.7,23,3,0,0,2,2,2,0.11,1,1,0,0,0,0,Matches
Fernando,br BRA,"MF,DF",35.0,17.5,20,1.14,18,0,0,0,0,2,1,0.06,1,0,0,0,0,0,Matches
Youssef En-Nesyri,ma MAR,FW,25.0,18.5,32,1.73,21,1,2,6,2,0,5,0.27,3,0,1,1,0,0,Matches
Gonzalo Montiel,ar ARG,DF,25.0,16.9,41,2.42,33,6,1,0,0,1,5,0.3,5,0,0,0,0,0,Matches
Loïc Bade,fr FRA,DF,22.0,16.1,3,0.19,2,1,0,0,0,0,1,0.06,0,1,0,0,0,0,Matches
Tanguy Nianzou,fr FRA,DF,20.0,15.2,10,0.66,7,0,0,1,1,1,0,0.0,0,0,0,0,0,0,Matches
Rafa Mir,es ESP,FW,25.0,14.4,19,1.32,14,0,0,4,1,0,0,0.0,0,0,0,0,0,0,Matches
Alex Telles,br BRA,DF,29.0,15.9,42,2.65,31,5,1,2,3,0,4,0.25,3,0,0,0,1,0,Matches
Karim Rekik,nl NED,DF,27.0,13.1,14,1.07,12,0,0,1,1,0,2,0.15,2,0,0,0,0,0,Matches
Pape Gueye,sn SEN,MF,23.0,13.0,31,2.38,22,0,4,1,3,1,6,0.46,5,0,0,0,1,0,Matches
Marko Dmitrović,rs SRB,GK,30.0,14.1,4,0.28,2,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lucas Ocampos,ar ARG,"FW,MF",28.0,12.9,30,2.32,25,0,2,0,2,1,2,0.15,1,0,0,0,1,0,Matches
Papu Gómez,ar ARG,"FW,MF",34.0,11.8,46,3.89,38,2,1,2,2,1,3,0.25,3,0,0,0,0,0,Matches
Suso,es ESP,"MF,FW",28.0,11.8,64,5.41,51,6,3,2,1,1,7,0.59,4,1,2,0,0,0,Matches
Bryan Gil,es ESP,"FW,DF",21.0,10.2,25,2.45,20,0,1,1,2,1,4,0.39,3,0,0,1,0,0,Matches
Isco,es ESP,"MF,FW",30.0,8.9,32,3.6,22,5,2,0,2,1,3,0.34,2,0,1,0,0,0,Matches
Carmona,es ESP,DF,20.0,5.9,10,1.7,7,2,0,1,0,0,2,0.34,2,0,0,0,0,0,Matches
Marcão,br BRA,DF,26.0,4.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Kike Salas,es ESP,DF,20.0,4.1,1,0.24,0,0,0,1,0,0,1,0.24,0,0,0,1,0,0,Matches
Thomas Delaney,dk DEN,MF,30.0,3.4,4,1.17,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Kasper Dolberg,dk DEN,FW,24.0,2.2,1,0.45,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Manu Bueno,es ESP,MF,18.0,1.7,2,1.21,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jesús Corona,mx MEX,FW,29.0,1.2,5,4.02,4,0,1,0,0,0,1,0.8,0,0,1,0,0,0,Matches
Adnan Januzaj,be BEL,FW,27.0,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Diego Iturralde,es ESP,DF,19.0,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Iván Romero,es ESP,MF,21.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Carlos Álvarez,es ESP,MF,18.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Pedro Ortiz,es ESP,MF,21.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,28.7,38.0,837,22.03,640,74,26,41,39,17,82,2.16,56,8,7,6,5,0,
Opponent Total,,,27.3,38.0,893,23.5,655,85,42,52,46,13,87,2.29,68,3,5,8,2,1,
