Player,Nation,Pos,Age,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Marc-André ter Stegen,de GER,GK,30.0,37.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,3
Robert Lewandowski,pl POL,FW,33.0,31.6,17,11,2,5,10,7,14,50.0,7,20,0,20,2,19,14,0
Gavi,es ESP,"MF,FW",17.0,28.1,47,31,7,30,10,21,55,38.2,34,32,5,27,18,65,22,0
Alejandro Balde,es ESP,DF,18.0,27.5,42,30,22,16,4,24,41,58.5,17,25,3,22,12,54,17,1
Frenkie de Jong,nl NED,MF,25.0,28.2,46,26,16,21,9,17,41,41.5,24,11,1,10,35,81,22,1
Jules Koundé,fr FRA,DF,23.0,27.0,37,23,18,13,6,21,31,67.7,10,24,9,15,19,56,61,3
Sergio Busquets,es ESP,MF,34.0,26.0,58,26,24,26,8,29,51,56.9,22,32,6,26,27,85,36,2
Raphinha,br BRA,FW,25.0,23.0,29,19,10,7,12,11,31,35.5,20,33,1,32,14,43,11,1
Pedri,es ESP,MF,19.0,22.0,39,22,15,17,7,13,45,28.9,32,27,0,27,13,52,8,1
Andreas Christensen,dk DEN,DF,26.0,19.6,20,15,9,11,0,10,16,62.5,6,14,12,2,21,41,47,0
Ronald Araújo,uy URU,DF,23.0,20.0,26,18,12,13,1,6,9,66.7,3,15,7,8,12,38,41,1
Ousmane Dembélé,fr FRA,FW,25.0,15.7,19,12,4,8,7,4,15,26.7,11,10,1,9,0,19,2,0
Eric García,es ESP,"DF,MF",21.0,15.7,24,16,16,5,3,9,20,45.0,11,23,10,13,19,43,36,1
Sergi Roberto,es ESP,"DF,MF",30.0,14.5,22,15,12,6,4,7,18,38.9,11,15,7,8,11,33,16,0
Jordi Alba,es ESP,DF,33.0,15.8,25,18,13,11,1,12,28,42.9,16,12,5,7,11,36,23,0
Ferrán Torres,es ESP,"FW,MF",22.0,15.5,13,7,4,5,4,5,20,25.0,15,11,2,9,3,16,5,0
Ansu Fati,es ESP,FW,19.0,15.5,16,9,8,4,4,5,18,27.8,13,19,0,19,5,21,6,0
Marcos Alonso,es ESP,DF,31.0,13.0,15,10,10,5,0,9,12,75.0,3,14,10,4,11,26,32,0
Franck Kessié,ci CIV,MF,25.0,11.0,15,9,6,6,3,8,18,44.4,10,10,2,8,12,27,11,2
Gerard Piqué,es ESP,DF,35.0,4.3,5,4,1,4,0,4,4,100.0,0,2,1,1,2,7,19,0
Memphis,nl NED,FW,28.0,1.3,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0
Pablo Torre,es ESP,"FW,MF",19.0,1.6,2,1,0,1,1,2,4,50.0,2,1,0,1,2,4,1,0
Héctor Bellerín,es ESP,DF,27.0,1.6,2,0,0,2,0,2,3,66.7,1,2,0,2,3,5,2,0
Iñaki Peña,es ESP,GK,23.0,0.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
Ángel Alarcón,es ESP,"FW,MF",18.0,0.3,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0
Pierre-Emerick Aubameyang,ga GAB,FW,33.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Lamine Yamal,es ESP,FW,15.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Aleix Garrido,es ESP,FW,18.0,0.1,2,1,1,0,1,1,1,100.0,0,1,0,1,0,2,0,0
Chadi Riad,ma MAR,MF,19.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Squad Total,,,25.9,38.0,522,324,211,216,95,227,498,45.6,271,353,82,271,253,775,439,17
Opponent Total,,,27.4,38.0,647,385,332,250,65,321,717,44.8,396,423,139,284,369,1016,746,17
